axiom_pattern;axiom;template;question;question_type;op_category;ontology;file;question_type_short;op_category_short;row_id
[X] SubclassOf([prop] only [Y]);Broadcast SubclassOf(result only BroadcastEvent);What does [X] [prop/*OP_VERB-infinitive]?;What does a broadcast result?;op_What-1-part-1-rel;OP_VERB;CopyrightAll;What-1-part-1-rel.csv;w1p1r;verb;1304
[X] SubclassOf([prop] some [Y]);Sell SubclassOf(condition some PayAction);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What condition does a sell have?;op_What-1-part-1-rel;OP_HAS_NOUNS;CopyrightAll;What-1-part-1-rel.csv;w1p1r;has_nouns;1324
[X] SubclassOf([prop] some [Y]);Rent SubclassOf(condition some PayAction);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What condition does a rent have?;op_What-1-part-1-rel;OP_HAS_NOUNS;CopyrightAll;What-1-part-1-rel.csv;w1p1r;has_nouns;1323
[X] SubclassOf([prop] only [Y]);Communicate SubclassOf(result only Communication);What does [X] [prop/*OP_VERB-infinitive]?;What does a communicate result?;op_What-1-part-1-rel;OP_VERB;CopyrightAll;What-1-part-1-rel.csv;w1p1r;verb;1305
[X] SubclassOf([prop] only [Y]);MakeAvailable SubclassOf(result only OnDemandEvent);What does [X] [prop/*OP_VERB-infinitive]?;What does a make available result?;op_What-1-part-1-rel;OP_VERB;CopyrightAll;What-1-part-1-rel.csv;w1p1r;verb;1314
[X] SubclassOf([prop] only [Y]);Use SubclassOf(agent only LegalPerson);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What agent does an use have?;op_What-1-part-1-rel;OP_HAS_NOUNS;CopyrightAll;What-1-part-1-rel.csv;w1p1r;has_nouns;1322
[X] SubclassOf([prop] some [Y]);Sell SubclassOf(consequence some OwnershipInfo);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What consequence does a sell have?;op_What-1-part-1-rel;OP_HAS_NOUNS;CopyrightAll;What-1-part-1-rel.csv;w1p1r;has_nouns;1325
[X] SubclassOf([prop] only [Y]);Improvise SubclassOf(result only Performance);What does [X] [prop/*OP_VERB-infinitive]?;What does an improvise result?;op_What-1-part-1-rel;OP_VERB;CopyrightAll;What-1-part-1-rel.csv;w1p1r;verb;1313
[X] SubclassOf([prop] only [Y]);PerformInPublic SubclassOf(location only PublicPlace);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What location does a perform in public have?;op_What-1-part-1-rel;OP_HAS_NOUNS;CopyrightAll;What-1-part-1-rel.csv;w1p1r;has_nouns;1319
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Copy SubclassOf(Exploit),Copy SubclassOf(result only Instance);Which [X/noArticle] [prop/*OP_VERB-third] [Y]?;Which exploit results an instance?;op_What-2-part-1-rel;OP_VERB;CopyrightAll;What-2-part-1-rel.csv;w2p1r;verb;1341
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Sell SubclassOf(Exploit),Sell SubclassOf(consequence some OwnershipInfo);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which exploit has a consequence that is an ownership info?;op_What-2-part-1-rel;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel.csv;w2p1r;has_nouns;1390
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Manifest SubclassOf(Action),Manifest SubclassOf(object only Work);Which [X/noArticle] [prop/*OP_VERB-third] [Y]?;Which disagree action objects work?;op_What-2-part-1-rel;OP_VERB;CopyrightAll;What-2-part-1-rel.csv;w2p1r;verb;1361
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Sell SubclassOf(Distribute),Sell SubclassOf(consequence some OwnershipInfo);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which distribute has a consequence that is an ownership info?;op_What-2-part-1-rel;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel.csv;w2p1r;has_nouns;1389
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Derive SubclassOf(Exploit),Derive SubclassOf(object only Work);Which [X/noArticle] [prop/*OP_VERB-third] [Y]?;Which exploit objects work?;op_What-2-part-1-rel;OP_VERB;CopyrightAll;What-2-part-1-rel.csv;w2p1r;verb;1343
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Access SubclassOf(Use),Access SubclassOf(object only OnDemandEvent);Which [X/noArticle] [prop/*OP_VERB-third] [Y]?;Which use objects an on demand event?;op_What-2-part-1-rel;OP_VERB;CopyrightAll;What-2-part-1-rel.csv;w2p1r;verb;1326
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Derive SubclassOf(Action),Derive SubclassOf(object only Work);Which [X/noArticle] [prop/*OP_VERB-third] [Y]?;Which disagree action objects work?;op_What-2-part-1-rel;OP_VERB;CopyrightAll;What-2-part-1-rel.csv;w2p1r;verb;1344
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Tune SubclassOf(Temporal),Tune SubclassOf(object only BroadcastEvent);Which [X/noArticle] [prop/*OP_VERB-third] [Y]?;Which temporal objects a broadcast event?;op_What-2-part-1-rel;OP_VERB;CopyrightAll;What-2-part-1-rel.csv;w2p1r;verb;1377
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Perform SubclassOf(Exploit),Perform SubclassOf(result only Performance);Which [X/noArticle] [prop/*OP_VERB-third] [Y]?;Which exploit results a performance?;op_What-2-part-1-rel;OP_VERB;CopyrightAll;What-2-part-1-rel.csv;w2p1r;verb;1367
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Rent SubclassOf(Action),Rent SubclassOf(condition some PayAction);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which disagree action has a condition that is a pay action?;op_What-2-part-1-rel;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel.csv;w2p1r;has_nouns;1383
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);PerformInPublic SubclassOf(Action),PerformInPublic SubclassOf(location only PublicPlace);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is only [Y]?;Which disagree action has a location that is only a public place?;op_What-2-part-1-rel-quant-only;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel-quant-only.csv;w2p1r_qo;has_nouns;1438
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Broadcast SubclassOf(Action),Broadcast SubclassOf(result only BroadcastEvent);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which disagree action results only a broadcast event?;op_What-2-part-1-rel-quant-only;OP_VERB;CopyrightAll;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;1403
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Derive SubclassOf(Action),Derive SubclassOf(result only Manifestation);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which disagree action results only a manifestation?;op_What-2-part-1-rel-quant-only;OP_VERB;CopyrightAll;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;1413
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);MakeAvailable SubclassOf(Exploit),MakeAvailable SubclassOf(result only OnDemandEvent);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which exploit results only an on demand event?;op_What-2-part-1-rel-quant-only;OP_VERB;CopyrightAll;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;1423
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Improvise SubclassOf(Temporal),Improvise SubclassOf(result only Performance);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which temporal results only a performance?;op_What-2-part-1-rel-quant-only;OP_VERB;CopyrightAll;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;1421
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Attend SubclassOf(Action),Attend SubclassOf(object only Performance);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which disagree action objects only a performance?;op_What-2-part-1-rel-quant-only;OP_VERB;CopyrightAll;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;1398
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Broadcast SubclassOf(Communicate),Broadcast SubclassOf(result only BroadcastEvent);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which communicate results only a broadcast event?;op_What-2-part-1-rel-quant-only;OP_VERB;CopyrightAll;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;1401
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Tune SubclassOf(Temporal),Tune SubclassOf(object only BroadcastEvent);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which temporal objects only a broadcast event?;op_What-2-part-1-rel-quant-only;OP_VERB;CopyrightAll;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;1444
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Attend SubclassOf(Use),Attend SubclassOf(object only Performance);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which use objects only a performance?;op_What-2-part-1-rel-quant-only;OP_VERB;CopyrightAll;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;1397
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Improvise SubclassOf(Temporal),Improvise SubclassOf(object only Work);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which temporal objects only work?;op_What-2-part-1-rel-quant-only;OP_VERB;CopyrightAll;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;1419
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Sell SubclassOf(Distribute),Sell SubclassOf(condition some PayAction);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which distribute has a condition that is some pay action?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;1452
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Rent SubclassOf(Action),Rent SubclassOf(condition some PayAction);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which disagree action has a condition that is some pay action?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;1450
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Sell SubclassOf(Action),Sell SubclassOf(condition some PayAction);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which disagree action has a condition that is some pay action?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;1454
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Sell SubclassOf(Exploit),Sell SubclassOf(consequence some OwnershipInfo);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which exploit has a consequence that is some ownership info?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;1457
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Sell SubclassOf(Distribute),Sell SubclassOf(consequence some OwnershipInfo);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which distribute has a consequence that is some ownership info?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;1456
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Rent SubclassOf(Distribute),Rent SubclassOf(condition some PayAction);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which distribute has a condition that is some pay action?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;1448
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Rent SubclassOf(Exploit),Rent SubclassOf(condition some PayAction);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which exploit has a condition that is some pay action?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;1449
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Sell SubclassOf(Action),Sell SubclassOf(consequence some OwnershipInfo);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which disagree action has a consequence that is some ownership info?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;1458
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Sell SubclassOf(SellAction),Sell SubclassOf(consequence some OwnershipInfo);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which sell action has a consequence that is some ownership info?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;1459
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);Sell SubclassOf(Exploit),Sell SubclassOf(condition some PayAction);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which exploit has a condition that is some pay action?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;CopyrightAll;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;1453
[X] SubclassOf([prop] only [Y]);Attend SubclassOf(object only Performance);Does [X] [prop/*OP_VERB-infinitive] [Y]?;Does an attend object a performance?;op_Yes-No-2-part-1-rel;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel.csv;yn2p1r;verb;1463
[X] SubclassOf([prop] some [Y]);Sell SubclassOf(consequence some OwnershipInfo);[X] [prop/*OP_HAS_NOUNS-third] that is [Y]. True or false?;A sell has a consequence that is an ownership info. True or false?;op_Yes-No-2-part-1-rel;OP_HAS_NOUNS;CopyrightAll;Yes-No-2-part-1-rel.csv;yn2p1r;has_nouns;1530
[X] SubclassOf([prop] only [Y]);Attend SubclassOf(object only Performance);True or false: [X] [prop/*OP_VERB-third] [Y].;True or false: An attend objects a performance.;op_Yes-No-2-part-1-rel;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel.csv;yn2p1r;verb;1465
[X] SubclassOf([prop] only [Y]);Copy SubclassOf(result only Instance);[X] [prop/*OP_VERB-third] [Y]. True or false?;A copy results an instance. True or false?;op_Yes-No-2-part-1-rel;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel.csv;yn2p1r;verb;1476
[X] SubclassOf([prop] only [Y]);Manifest SubclassOf(agent only LegalPerson);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is [Y]?;Does a manifest have an agent that is a legal person?;op_Yes-No-2-part-1-rel;OP_HAS_NOUNS;CopyrightAll;Yes-No-2-part-1-rel.csv;yn2p1r;has_nouns;1499
[X] SubclassOf([prop] only [Y]);Broadcast SubclassOf(result only BroadcastEvent);Does [X] [prop/*OP_VERB-infinitive] [Y]?;Does a broadcast result a broadcast event?;op_Yes-No-2-part-1-rel;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel.csv;yn2p1r;verb;1466
[X] SubclassOf([prop] only [Y]);Broadcast SubclassOf(result only BroadcastEvent);[X] [prop/*OP_VERB-third] [Y]. True or false?;A broadcast results a broadcast event. True or false?;op_Yes-No-2-part-1-rel;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel.csv;yn2p1r;verb;1467
[X] SubclassOf([prop] only [Y]);Manifest SubclassOf(object only Work);Does [X] [prop/*OP_VERB-infinitive] [Y]?;Does a manifest object work?;op_Yes-No-2-part-1-rel;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel.csv;yn2p1r;verb;1502
[X] SubclassOf([prop] only [Y]);Manifest SubclassOf(result only Manifestation);Does [X] [prop/*OP_VERB-infinitive] [Y]?;Does a manifest result a manifestation?;op_Yes-No-2-part-1-rel;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel.csv;yn2p1r;verb;1505
[X] SubclassOf([prop] only [Y]);Distribute SubclassOf(object only CreativeWork);[X] [prop/*OP_VERB-third] [Y]. True or false?;A distribute objects creative work. True or false?;op_Yes-No-2-part-1-rel;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel.csv;yn2p1r;verb;1485
[X] SubclassOf([prop] only [Y]);Communicate SubclassOf(result only Communication);True or false: [X] [prop/*OP_VERB-third] only [Y].;True or false: A communicate results only a communication.;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb;1543
[X] SubclassOf([prop] only [Y]);Distribute SubclassOf(object only CreativeWork);Does [X] [prop/*OP_VERB-infinitive] only [Y]?;Does a distribute object only creative work?;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb;1556
[X] SubclassOf([prop] only [Y]);MakeAvailable SubclassOf(result only OnDemandEvent);Does [X] [prop/*OP_VERB-infinitive] only [Y]?;Does a make available result only an on demand event?;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb;1568
[X] SubclassOf([prop] only [Y]);Copy SubclassOf(result only Instance);True or false: [X] [prop/*OP_VERB-third] only [Y].;True or false: A copy results only an instance.;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb;1549
[X] SubclassOf([prop] only [Y]);Perform SubclassOf(result only Performance);Does [X] [prop/*OP_VERB-infinitive] only [Y]?;Does a perform result only a performance?;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb;1580
[X] SubclassOf([prop] only [Y]);Manifest SubclassOf(result only Manifestation);Does [X] [prop/*OP_VERB-infinitive] only [Y]?;Does a manifest result only a manifestation?;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb;1577
[X] SubclassOf([prop] only [Y]);Improvise SubclassOf(agent only LegalPerson);[X] [prop/*OP_HAS_NOUNS-third] that is only [Y]. True or false?;An improvise has an agent that is only a legal person. True or false?;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;CopyrightAll;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;1560
[X] SubclassOf([prop] only [Y]);Record SubclassOf(result only Recording);Does [X] [prop/*OP_VERB-infinitive] only [Y]?;Does a record result only a recording?;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb;1586
[X] SubclassOf([prop] only [Y]);Record SubclassOf(result only Recording);[X] [prop/*OP_VERB-third] only [Y]. True or false?;A record results only a recording. True or false?;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB;CopyrightAll;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb;1587
[X] SubclassOf([prop] only [Y]);PerformInPublic SubclassOf(location only PublicPlace);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is only [Y].;True or false: A perform in public has a location that is only a public place.;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;CopyrightAll;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;1585
[X] SubclassOf([Y]);Cinema SubclassOf(CulturalInstituteOrSite);What is [X]?;What is a cinema?;Definition;OP_DEFINITION;Cultural-On;Definition.csv;def;definition;1606
[X] SubclassOf([Y]);ArchaeologicalPark SubclassOf(CulturalEntity);What is [X]?;What is an archaeological park?;Definition;OP_DEFINITION;Cultural-On;Definition.csv;def;definition;1613
[X] SubclassOf([Y]);ArchaeologicalArea SubclassOf(CulturalInstituteOrSite);What is [X]?;What is an archaeological area?;Definition;OP_DEFINITION;Cultural-On;Definition.csv;def;definition;1598
[X] SubclassOf([Y]);Booking SubclassOf(AccessCondition);What is [X]?;What is a type of booking?;Definition;OP_DEFINITION;Cultural-On;Definition.csv;def;definition;1600
[X] SubclassOf([Y]);MonumentalArea SubclassOf(CulturalInstituteOrSite);What is [X]?;What is a monumental area or complex?;Definition;OP_DEFINITION;Cultural-On;Definition.csv;def;definition;1596
[X] SubclassOf([Y]);Library SubclassOf(CulturalInstituteOrSite);What is [X]?;What is a library?;Definition;OP_DEFINITION;Cultural-On;Definition.csv;def;definition;1611
[X] SubclassOf([Y]);OpeningHoursSpecification SubclassOf(AccessCondition);What is [X]?;What is an opening hours specification?;Definition;OP_DEFINITION;Cultural-On;Definition.csv;def;definition;1609
[X] SubclassOf([Y]);TemporaryClosure SubclassOf(AccessCondition);What is [X]?;What is a temporary closure?;Definition;OP_DEFINITION;Cultural-On;Definition.csv;def;definition;1603
[X] SubclassOf([Y]);CulturalInstituteOrSite SubclassOf(CulturalEntity);What is [X]?;What is a cultural institute or site?;Definition;OP_DEFINITION;Cultural-On;Definition.csv;def;definition;1618
[X] SubclassOf([Y]);GovernamentalAdministrativeArea SubclassOf(GeographicalFeature);What is [X]?;What is a governamental administrative area?;Definition;OP_DEFINITION;Cultural-On;Definition.csv;def;definition;1619
[X] SubclassOf([prop] only [Y]);DayOfWeek SubclassOf(isRoleIn only RoleInTime);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What is a day of the week a role in?;op_What-1-part-1-rel;OP_IS_NOUNS_PREP;Cultural-On;What-1-part-1-rel.csv;w1p1r;is_noun_prep;2159
[X] SubclassOf([prop] only [Y]);UserType SubclassOf(isSiteOf only CulturalEntity);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What is an user type a site of?;op_What-1-part-1-rel;OP_IS_NOUNS_PREP;Cultural-On;What-1-part-1-rel.csv;w1p1r;is_noun_prep;2226
[X] SubclassOf([prop] only [Y]);NameInTime SubclassOf(isPartOf only CulturalInstituteOrSite);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What is a name in time part of?;op_What-1-part-1-rel;OP_IS_NOUNS_PREP;Cultural-On;What-1-part-1-rel.csv;w1p1r;is_noun_prep;2471
[X] SubclassOf([prop] only [Y]);AudioObject SubclassOf(hasSubEvent only Event);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What sub event does an audio object have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Cultural-On;What-1-part-1-rel.csv;w1p1r;has_nouns;4233
[X] SubclassOf([prop] some [Y]);Library SubclassOf(hasSite some Site);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What site does a library have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Cultural-On;What-1-part-1-rel.csv;w1p1r;has_nouns;1643
[X] SubclassOf([prop] only [Y]);AudioObject SubclassOf(reportsTo only Agent);What does [X] [prop/*OP_VERB_PREP-infinitive]?;What does an audio object report to?;op_What-1-part-1-rel;OP_VERB_PREP;Cultural-On;What-1-part-1-rel.csv;w1p1r;verb_prep;2053
[X] SubclassOf([prop] only [Y]);Project SubclassOf(hasSite only Site);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What site does a project have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Cultural-On;What-1-part-1-rel.csv;w1p1r;has_nouns;3746
[X] SubclassOf([prop] only [Y]);GeographicalFeature SubclassOf(describes only CulturalEntity);What does [X] [prop/*OP_VERB-infinitive]?;What does a geographical area describe?;op_What-1-part-1-rel;OP_VERB;Cultural-On;What-1-part-1-rel.csv;w1p1r;verb;1706
[X] SubclassOf([prop] only [Y]);SiteDescription SubclassOf(isSubEventOf only Event);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What is a site description a sub event of?;op_What-1-part-1-rel;OP_IS_NOUNS_PREP;Cultural-On;What-1-part-1-rel.csv;w1p1r;is_noun_prep;2334
[X] SubclassOf([prop] only [Y]);CulturalLandscapeAsset SubclassOf(isPartOf only CulturalEntity);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What is a cultural landscape asset part of?;op_What-1-part-1-rel;OP_IS_NOUNS_PREP;Cultural-On;What-1-part-1-rel.csv;w1p1r;is_noun_prep;2550
[Z] SubclassOf([prop] only [Y]);Collection SubclassOf(hasCollection only CulturalEntity),Collection SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which cultural entity has a collection that is a cultural entity?;op_What-2-part-1-rel;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel.csv;w2p1r;has_nouns;5243
[Z] SubclassOf([prop] only [Y]);ArchaeologicalArea SubclassOf(hasMember only CulturalEntity),ArchaeologicalArea SubclassOf(CulturalInstituteOrSite);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which cultural institute or site has a member that is a cultural entity?;op_What-2-part-1-rel;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel.csv;w2p1r;has_nouns;4770
[Z] SubclassOf([prop] only [Y]);Cinema SubclassOf(hasNameInTime only NameInTime),Cinema SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which cultural entity has a name in time that is a name in time?;op_What-2-part-1-rel;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel.csv;w2p1r;has_nouns;4935
[Z] SubclassOf([prop] some [Y]);Theatre SubclassOf(hasSite some Site),Theatre SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which cultural entity has a site that is a site?;op_What-2-part-1-rel;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel.csv;w2p1r;has_nouns;4406
[Z] SubclassOf([prop] only [Y]);Library SubclassOf(hasAdmissionType only AdmissionType),Library SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which cultural entity has an admission type that is an admission type?;op_What-2-part-1-rel;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel.csv;w2p1r;has_nouns;5077
[Z] SubclassOf([prop] only [Y]);TemporaryClosure SubclassOf(includes only Ticket),TemporaryClosure SubclassOf(AccessCondition);Which [X/noArticle] [prop/*OP_VERB-third] [Y]?;Which access condition includes a ticket?;op_What-2-part-1-rel;OP_VERB;Cultural-On;What-2-part-1-rel.csv;w2p1r;verb;4487
[Z] SubclassOf([prop] only [Y]);NewsArticle SubclassOf(hasValidity only Validity),NewsArticle SubclassOf(CreativeWork);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which creative work has validity that is validity?;op_What-2-part-1-rel;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel.csv;w2p1r;has_nouns;5001
[Z] SubclassOf([prop] only [Y]);Museum SubclassOf(hasAddress only Address),Museum SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which cultural entity has an address that is an address?;op_What-2-part-1-rel;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel.csv;w2p1r;has_nouns;5205
